thetaS,thetaR,thetaWP,thetaFC,n,alpha,alphaSpecificStorage,betaSpecificStorage,Ks
#1 Sand,  
0.43,0.045,0.075,0.35,2.68,14.5,1.0e-07,4.4e-10,8.25e-05
#2 Loamy sand,  
0.41,0.057,0.087,0.33,2.28,12.4,1.0e-07,4.4e-10,4.0528e-05
#3 Sandy loam,  
0.41,0.065,0.095,0.33,1.89,7.5,1.0e-07,4.4e-10,1.2278e-05
#4 Silt loam,  
0.45,0.067,0.097,0.37,1.41,2.0,1.0e-07,4.4e-10,1.25e-06
#5 Loam,  
0.43,0.078,0.108,0.35,1.56,3.6,1.0e-07,4.4e-10,2.8889e-06
#6 Sandy clay loam,  
0.39,0.1,0.13,0.31,1.48,5.9,1.0e-07,4.4e-10,3.6388e-06
#7 Silty clay loam,  
0.43,0.089,0.119,0.35,1.23,1,1.0e-07,4.4e-10,1.9447e-07
#8 Clay loam,  
0.41,0.095,0.125,0.33,1.31,1.9,1.0e-07,4.4e-10,7.2224e-07
#9 Sandy clay,  
0.38,0.1,0.13,0.3,1.23,2.7,1.0e-07,4.4e-10,3.3333e-07
#10 Silty clay,  
0.36,0.07,0.1,0.28,1.09,0.5,1.0e-07,4.4e-10,5.5556e-08
#11 Clay,  
0.38,0.068,0.098,0.3,1.09,0.8,1.0e-07,4.4e-10,5.5556e-07
#12 Soil1,  
0.30,0.05,0.0803,0.205,1.31,6,1.000000e-07,4.400000e-10,3.472222e-05 
#13 Soil2,  
0.30,0.05,0.0803,0.235,1.31,6,1.000000e-07,4.400000e-10,1.38000e-07
#14 Soil3,  
0.30,0.05,0.0803,0.235,1.31,6,1.000000e-07,4.400000e-10,5.38000e-06
